title,year,citations,journal,cited_by_url
A multi-agent system for the automation of a port container terminal,2000,75,not specified,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=9309426555546589354&scipsc="
TRACES: TRAFFIC CONTROL ENGINEERING SYSTEM A case-study on container terminal automation,1999,27,not specified,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=6171787941291428034&scipsc="
Automation in port container terminals,2014,49,not specified,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=16200645956702243205&scipsc="
Multi-agent system technology in a port container terminal automation,2004,13,not specified,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=3086980972259741507&scipsc="
Alignments between strategic content and process structure: the case of container terminal service process automation,2019,14,not specified,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=14852389085083582985&scipsc="
A Study on Application of Yard Transportaion Equipment Automation System in the Container Terminal,2018,5,not specified,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=7027991686810156965&scipsc="
Container port automation,2006,13,not specified,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=2428285333085990610&scipsc="
New technologies and the transformation of work and skills: a study of computerisation and automation of Australian container terminals,2018,30,not specified,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=3038243621657882594&scipsc="
Strategic analysis of the automation of container port terminals through BOT (business observation tool),2020,9,not specified,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=7776988263832702778&scipsc="
Automation of the Road Gate Operations Process at the Container Terminal—A Case Study of DCT Gdańsk SA,2021,0,not specified,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=7776988263832702778&scipsc="
